"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X140","X141","X142","X143","X144","X145","X146","X147","X148","X149","X150","X151","X152","X153","X154","X155","X156","X157","X158","X159","X160","X161","X162","X163","X164","X165","X166","X167","X168","X169","X170","X171","X172","X173","X174","X175","X176","X177","X178","X179","X180","X181","X182","X183","X184","X185","X186","X187","X188","X189","X190","X191","X192","X193","X194","X195","X196","X197","X198","X199","X200","X201","X202","X203","X204","X205","X206","X207","X208","X209","X210","X211","X212","X213","X214","X215","X216","X217","X218","X219","X220","X221","X222","X223","X224","X225","X226","X227","X228","X229","X230","X231","X232","X233","X234","X235","X236","X237","X238","X239","X240","X241","X242","X243","X244","X245","X246","X247","X248","X249","X250","X251","X252","X253","X254","X255","X256","X257","X258","X259","X260","X261","X262","X263","X264","X265","X266","X267","X268","X269","X270","X271","X272","X273","X274","X275","X276","X277","X278","X279","X280","X281","X282","X283","X284","X285","X286","X287","X288","X289","X290","X291","X292","X293","X294","X295","X296","X297","X298","X299","X300","X301","X302","X303","X304","X305","X306","X307","X308","X309","X310","X311","X312","X313","X314","X315","X316","X317","X318","X319","X320","X321","X322","X323","X324","X325","X326","X327","X328","X329","X330","X331","X332","X333","X334","X335","X336","X337","X338","X339","X340","X341","X342","X343","X344","X345","X346","X347","X348","X349","X350","X351","X352","X353","X354","X355","X356","X357","X358","X359","X360","X361","X362","X363","X364","X365","X366","X367","X368","X369","X370","X371","X372","X373","X374","X375","X376","X377","X378","X379","X380","X381","X382","X383","X384","X385","X386","X387","X388","X389","X390","X391","X392","X393","X394","X395","X396","X397","X398","X399","X400","X401","X402","X403","X404","X405","X406","X407","X408","X409","X410","X411","X412","X413","X414","X415","X416","X417","X418","X419","X420","X421","X422","X423","X424","X425","X426","X427","X428","X429","X430","X431","X432","X433","X434","X435","X436","X437","X438","X439","X440","X441","X442","X443","X444","X445","X446","X447","X448","X449","X450","X451","X452","X453","X454","X455","X456","X457","X458","X459","X460","X461","X462","X463","X464","X465","X466","X467","X468","X469","X470","X471","X472","X473","X474","X475","X476","X477","X478","X479","X480","X481","X482","X483","X484","X485","X486","X487","X488","X489","X490","X491","X492","X493","X494","X495","X496","X497","X498","X499","X500"
"1",4,0,1,5,11,5,2,0,9,0,0,3,0,3,1,94,14,2,4,4,0,9,4,0,0,18,1,61,6,1,9,0,2,39,0,0,4,2,2,5,9,0,7,3,1,7,0,1,4,0,6,15,64,1,12,0,6,12,3,9,0,0,0,14,9,1,0,1,1,0,0,0,2,2,26,6,1,1,1,1,0,2,1,9,9,4,1,0,12,8,0,1,6,0,0,0,1,0,2,1,1,0,0,8,7,4,0,3,0,1,0,0,0,2,3,0,11,2,4,3,0,18,1,6,0,5,2,4,0,2,1,6,3,1,4,0,0,7,1,5,48,0,2,1,3,6,25,0,0,5,3,0,0,6,0,0,4,2,2,2,10,8,6,1,2,6,0,6,5,6,2,9,0,4,0,14,2,4,3,1,5,2,15,5,3,1,53,6,0,14,2,1,6,2,10,2,7,3,0,0,0,1,2,1,4,1,9,1,0,5,310,2,0,5,1,2,0,0,16,2,0,1,11,4,0,0,0,1,6,848,12,144,11,0,0,0,0,0,8,5,1,1,5,23,2,20,17,3,30,2,1,1,1,2,2,2,1,11,13,6,1,1,0,1,5,0,2,7,0,17,16,5,3,160,10,0,0,4,0,0,8,0,5,9,4,3,0,6,0,7,5,0,1,8,0,7,1,3,34,2,0,26,1,0,0,3,9,20,0,1,1,7,0,0,0,0,0,19,0,3,0,6,0,2,1,0,1,14,0,1,15,518,0,6,3,0,0,3,0,0,505,0,31,0,2,0,1,2,2,1,0,0,0,0,15,1,21,1,0,1,28,1,6,2,273,1,0,0,25,0,3,261,0,9,2,8,48,39,4,3,8,0,7,1,6,0,5,3,1,0,0,0,8,0,9,4,1,7,2,10,0,1,0,0,14,0,8,10,1,3,2,3,2,4,0,5,0,2,9,1,0,18,0,0,31,9,17,0,0,6,3,11,10,8,2,0,0,0,0,2,1,1,0,6,13,0,11,0,0,7,3,1,0,1,3,0,2,19,4,0,0,0,1,0,0,4,0,5,1,0,4,5,6,12,0,0,0,5,0,0,1,0,1,0,13,18,1,0,2,0,0,25,1,1,6,0,0,0,2,2
"2",0,0,0,1,12,3,7,0,6,12,4,1,1,1,0,81,12,0,2,2,1,6,0,0,0,3,0,4,20,0,16,3,20,26,0,0,4,0,1,1,3,0,2,7,0,2,0,0,0,7,7,28,36,5,12,0,6,19,1,1,0,0,6,26,4,0,0,7,1,0,5,4,4,0,7,0,0,1,10,15,4,0,26,11,3,5,0,0,1,0,1,0,3,8,0,1,0,1,6,2,4,1,1,5,14,0,0,2,0,5,0,1,1,0,2,0,5,2,0,1,2,0,0,2,0,46,0,3,3,0,5,0,5,1,4,2,1,5,0,4,0,0,1,8,1,24,11,5,1,9,1,2,0,0,0,1,7,11,5,3,8,8,8,0,3,6,0,16,12,0,12,9,4,0,0,2,13,9,0,0,1,1,1,3,0,0,32,3,2,6,0,2,2,3,5,9,48,1,1,1,0,3,0,0,0,0,7,10,5,9,263,5,0,1,2,4,0,0,6,0,0,2,26,7,3,3,0,0,4,24,10,267,22,0,0,0,0,1,10,12,1,1,4,4,0,6,15,7,5,1,4,1,3,2,0,1,2,2,14,14,0,0,2,4,1,0,0,23,0,9,15,3,2,179,7,1,0,1,2,1,1,1,7,8,10,2,1,15,0,1,19,0,0,12,0,3,4,1,21,2,0,15,0,0,0,1,3,16,0,3,0,1,6,6,13,6,1,8,0,2,0,1,0,1,4,0,0,29,0,3,6,456,0,18,3,1,0,0,0,3,424,0,42,1,4,0,5,1,2,9,1,0,1,0,5,3,27,1,0,0,1,0,9,0,241,0,0,1,9,1,0,326,0,8,5,0,44,51,0,0,14,56,4,0,1,0,3,2,4,0,0,0,11,1,1,0,3,11,0,9,0,4,0,1,22,1,6,36,0,0,0,3,1,1,0,7,0,1,12,10,6,5,1,1,23,4,20,0,0,0,3,6,4,5,1,0,2,7,0,2,0,7,0,4,7,0,16,4,2,6,77,5,4,3,6,0,0,9,1,1,0,0,12,0,0,7,7,1,0,1,15,6,1,7,1,0,0,5,1,0,0,3,1,3,7,12,1,3,8,0,3,12,8,0,0,0,1,0,0,1
"3",0,0,1,1,27,3,10,0,4,32,9,1,2,4,0,6,4,0,0,0,2,8,0,0,0,8,1,8,14,0,17,0,3,11,2,5,2,0,2,3,8,0,7,4,2,0,0,0,2,0,4,9,64,1,54,3,0,0,3,3,1,1,0,10,1,0,0,1,1,1,0,11,1,0,3,0,0,1,11,7,0,0,0,8,1,14,0,3,4,0,3,1,5,0,7,0,1,0,1,3,11,3,0,8,22,1,0,0,0,6,0,0,0,0,3,0,3,1,4,5,2,8,1,7,0,45,0,4,0,0,0,1,6,0,3,6,0,0,3,0,8,0,7,5,6,11,13,3,0,23,8,0,0,3,0,0,5,8,3,13,8,19,1,2,1,0,1,9,0,3,9,9,0,1,1,4,3,22,0,0,0,5,5,6,0,0,20,9,0,11,0,2,4,0,0,1,29,3,1,5,0,5,2,3,0,0,5,1,2,5,170,1,0,1,3,1,1,0,17,4,0,0,14,2,1,2,0,7,2,56,12,285,15,0,0,0,0,0,16,9,1,0,8,28,1,8,41,6,15,2,4,1,0,0,1,6,0,6,35,6,0,1,6,4,10,0,0,7,1,2,10,6,4,181,8,0,0,4,4,4,8,0,2,0,0,0,2,7,1,0,11,0,0,7,1,3,1,2,60,0,1,32,4,0,1,0,0,6,0,6,1,4,0,5,0,0,0,0,0,4,3,3,0,0,6,0,0,21,0,0,5,448,0,7,1,0,0,4,3,12,477,0,45,0,3,0,0,0,1,0,0,3,0,0,6,0,15,0,0,0,13,1,7,2,561,1,1,0,22,2,1,312,0,14,2,0,43,46,5,0,10,40,1,1,2,1,7,1,1,0,0,0,17,0,0,1,23,10,9,2,0,2,1,1,21,0,4,0,2,2,6,1,8,4,0,3,0,1,11,7,3,1,0,0,36,3,16,0,1,3,0,8,24,4,0,0,2,3,2,0,0,4,2,2,4,3,9,0,0,17,12,0,3,0,8,0,4,0,2,1,0,0,20,5,1,3,4,2,5,0,1,5,0,12,0,0,0,8,2,0,0,5,1,1,12,20,0,0,2,0,15,11,3,0,2,3,0,0,2,1
"4",0,0,2,0,7,1,1,0,0,5,0,0,0,4,0,1,9,1,0,0,0,30,0,0,0,7,1,16,8,5,22,3,4,29,4,1,8,0,3,5,1,0,8,4,0,0,0,0,1,0,0,8,46,0,23,0,5,6,1,0,1,0,2,14,2,0,0,0,2,0,11,0,1,0,2,0,0,0,0,7,2,0,1,18,8,3,0,2,8,8,5,1,2,13,11,0,2,0,1,5,5,0,0,3,19,3,0,0,1,7,0,0,1,0,1,0,4,4,4,5,4,12,0,2,0,78,1,16,0,1,3,20,2,0,7,0,0,2,1,1,13,0,1,9,0,9,1,4,0,59,0,0,0,2,1,0,4,9,1,3,12,26,8,0,3,0,0,11,6,0,1,15,4,2,1,2,6,3,1,0,7,0,5,4,0,0,14,5,1,9,0,0,0,3,2,10,34,4,2,3,1,8,7,0,1,1,2,13,2,5,177,11,1,0,2,7,0,0,5,10,1,0,11,1,5,8,0,2,5,60,19,385,24,2,0,0,0,3,9,2,0,2,9,0,1,15,8,6,19,2,1,3,6,1,0,0,0,4,31,12,6,1,0,1,3,3,0,7,0,9,2,15,9,213,8,5,0,1,21,2,5,1,2,1,6,2,0,4,0,8,18,0,0,8,0,3,1,1,8,2,0,20,1,0,2,0,0,5,0,4,0,1,2,2,0,25,0,0,0,1,3,3,0,1,1,0,0,10,0,0,34,341,0,1,2,0,0,6,2,0,410,0,32,1,8,0,0,6,3,0,2,11,0,0,2,3,27,0,0,0,2,0,0,3,295,0,1,0,19,1,0,218,0,10,2,2,38,50,1,2,11,0,4,11,5,0,0,1,4,0,0,0,16,0,3,1,4,11,1,11,2,10,1,1,51,0,3,21,0,2,0,2,7,8,0,7,1,0,10,7,6,0,0,0,8,0,31,3,0,2,0,4,15,6,1,0,2,0,0,0,0,11,2,6,4,2,4,1,0,2,1,2,5,0,12,1,1,11,2,0,0,0,13,0,3,1,3,1,1,0,3,7,1,2,1,0,7,5,2,4,1,0,0,0,1,3,0,0,5,0,4,18,8,0,8,0,0,0,5,5
"5",0,1,0,3,58,2,7,0,6,2,2,0,0,1,0,65,3,0,0,0,0,1,0,0,0,7,0,14,5,1,23,1,2,24,0,1,14,0,3,10,0,1,9,3,2,2,0,0,2,2,8,19,58,2,27,1,7,1,5,16,0,0,0,5,2,1,0,10,1,1,0,0,1,3,33,1,0,0,4,4,0,0,4,14,4,5,1,0,6,1,6,3,6,7,9,0,0,1,2,2,9,4,1,3,16,1,0,1,0,10,0,0,3,3,1,0,2,11,5,4,1,2,0,3,0,13,2,2,1,0,12,1,3,3,4,0,2,1,3,6,19,0,1,7,0,6,8,3,0,13,4,1,0,3,0,0,6,7,0,2,14,7,4,0,0,0,0,6,0,1,7,18,4,2,2,2,18,17,5,0,2,0,6,1,0,1,39,6,0,22,0,8,0,0,3,2,8,1,1,0,0,11,9,0,7,5,1,0,0,0,180,3,0,0,1,3,2,0,10,0,0,4,4,4,2,0,0,9,3,207,10,59,19,0,0,0,0,0,11,1,6,5,11,4,0,39,22,3,34,1,0,3,10,1,2,6,1,0,17,6,0,1,3,4,4,0,1,11,0,22,9,1,3,162,20,0,0,5,0,2,6,0,3,0,2,5,0,35,0,2,8,0,0,4,2,7,1,0,13,2,2,21,6,1,9,0,3,6,0,0,0,1,10,7,0,8,6,8,0,3,0,2,0,1,0,0,0,19,0,5,0,598,0,2,1,0,0,0,2,3,325,0,30,4,4,0,0,3,5,0,0,0,0,0,0,0,13,3,0,0,15,0,1,2,774,1,6,0,78,0,2,286,0,2,3,1,205,34,3,3,15,0,1,0,1,0,0,0,6,0,1,3,7,1,2,7,2,19,1,6,2,0,0,2,33,0,2,1,1,3,1,0,12,1,0,1,0,1,4,3,0,8,0,0,44,7,20,1,3,15,2,7,5,4,1,0,6,0,0,2,0,6,0,5,14,1,6,1,0,4,5,1,1,0,4,1,3,6,3,0,0,0,8,0,2,5,4,1,8,0,2,5,4,5,0,0,0,4,1,3,3,0,3,1,12,8,0,0,5,2,9,14,10,0,11,1,0,0,7,0
"6",1,1,1,2,19,18,12,1,0,30,5,1,0,1,0,7,4,0,0,1,0,12,0,0,0,7,4,11,22,0,2,0,3,20,2,0,4,1,0,6,14,0,6,4,0,1,0,0,0,0,5,10,52,2,24,1,6,0,6,8,0,1,3,3,2,0,0,0,7,0,5,7,1,3,18,0,0,0,7,15,4,0,1,0,3,9,9,0,5,0,3,2,5,12,13,0,2,0,4,0,3,9,3,6,11,10,0,2,0,16,1,0,0,0,4,0,2,4,2,7,2,4,1,0,0,0,0,0,0,0,0,2,1,0,4,0,1,6,1,0,0,0,1,8,0,7,12,1,1,4,11,1,0,4,0,0,4,6,9,7,3,0,4,2,4,1,0,6,10,1,15,6,11,0,1,5,7,3,0,0,5,0,2,2,1,0,54,6,0,0,1,2,0,1,1,2,25,3,0,0,0,2,4,0,9,3,4,0,2,3,179,5,1,2,2,0,0,0,5,5,0,0,10,8,4,1,0,9,5,10,10,29,42,0,0,2,0,2,6,2,9,5,5,17,0,27,12,5,9,7,4,0,4,3,5,1,0,1,12,0,0,1,5,5,35,0,2,12,0,7,15,17,8,202,14,0,0,4,26,6,2,1,6,5,2,2,1,6,0,2,9,0,0,8,1,7,1,3,29,0,0,26,5,0,5,0,3,7,0,7,0,1,5,2,1,23,0,7,0,2,2,5,0,0,1,4,0,43,0,3,0,445,0,16,2,0,1,7,1,3,148,1,28,9,1,1,1,0,1,0,3,0,3,0,2,3,16,0,0,0,5,1,11,5,324,1,1,0,142,1,0,233,1,10,0,1,102,41,1,1,15,0,4,10,3,0,0,6,5,0,0,0,5,0,6,1,4,16,5,1,1,0,0,1,30,0,9,8,0,3,10,4,2,4,0,6,2,1,16,3,14,4,2,1,0,6,2,2,1,2,2,3,3,0,0,0,1,2,0,0,2,1,4,5,15,1,18,0,0,8,60,2,6,3,14,2,0,2,1,0,0,1,5,10,2,13,4,1,1,0,20,6,0,1,0,0,0,6,1,1,0,1,0,2,12,7,1,5,1,0,2,13,6,0,3,0,0,0,11,2
"7",1,3,0,3,26,0,5,0,1,0,1,2,0,1,2,0,9,1,0,0,0,7,4,0,0,4,0,5,19,0,24,0,1,26,0,1,0,4,1,14,6,0,4,7,0,3,0,0,3,0,2,18,33,7,29,0,5,12,5,2,1,0,1,11,6,0,0,1,3,0,0,30,2,1,47,0,0,3,2,0,1,0,18,22,6,5,0,0,3,0,6,2,7,207,3,2,1,1,3,4,0,0,0,4,24,2,0,4,2,11,0,0,0,0,3,0,2,6,3,0,1,15,1,0,0,103,0,7,0,0,1,0,0,0,3,0,6,3,2,1,22,0,2,0,2,16,13,1,1,0,1,2,1,2,0,0,2,16,10,6,3,5,9,0,4,2,3,5,3,3,0,5,7,0,4,2,20,9,0,0,8,5,1,3,1,0,19,3,1,4,0,1,4,1,3,3,8,3,0,15,0,4,4,9,1,1,2,0,5,8,233,3,0,1,0,0,2,1,15,15,0,0,16,0,2,1,0,0,3,63,14,52,34,0,0,0,0,3,13,2,2,2,10,0,0,2,13,6,1,2,8,0,0,0,1,4,1,2,33,1,0,0,4,9,5,2,0,13,0,53,11,10,4,162,7,0,1,6,15,5,3,3,4,7,1,5,2,2,0,1,14,0,0,14,4,6,0,3,4,5,1,15,0,0,2,0,4,10,1,5,0,5,0,2,0,8,0,1,0,4,0,2,1,2,0,0,0,15,0,2,91,362,1,4,3,0,0,3,3,1,278,0,32,0,2,0,0,0,0,194,2,2,1,0,1,2,9,0,0,0,0,2,9,3,353,1,2,7,26,1,0,181,0,7,1,6,182,41,1,2,13,0,2,6,3,0,3,0,1,0,0,0,6,13,22,1,9,27,1,1,2,0,1,0,25,0,1,8,1,1,1,2,4,9,0,5,1,0,4,14,2,3,0,0,73,0,29,0,2,1,0,3,8,5,2,0,1,2,0,0,0,20,1,6,10,2,12,1,0,5,9,0,0,0,9,1,1,9,0,0,0,0,8,1,0,3,2,5,0,0,0,2,3,3,0,0,0,13,0,9,3,0,1,2,10,6,0,4,2,1,3,6,6,2,11,2,0,3,4,0
"8",6,0,0,4,21,17,7,0,14,0,4,0,0,2,0,2,9,2,0,0,0,0,1,0,0,11,2,26,5,0,8,0,2,21,0,0,1,0,1,6,6,0,6,1,0,2,0,0,0,1,4,34,51,10,9,0,4,1,4,5,0,0,1,15,0,0,0,16,0,0,10,1,2,0,23,3,0,0,1,3,0,0,0,22,0,2,0,0,3,5,0,3,8,1,2,0,1,5,1,2,8,0,1,6,10,3,1,0,0,13,0,1,6,3,2,0,0,0,5,4,0,2,2,0,4,0,0,0,2,0,2,0,0,7,6,0,3,6,2,3,11,0,1,9,2,9,24,1,0,2,7,0,0,2,0,0,9,1,1,2,13,14,14,5,2,2,0,8,0,0,2,8,1,3,2,4,9,3,1,0,13,1,7,2,1,0,68,2,0,2,0,4,7,4,1,1,11,2,0,0,0,3,3,1,0,2,4,0,1,2,199,9,0,0,3,0,0,1,5,0,0,0,17,5,4,1,0,11,6,38,4,345,29,1,0,0,0,0,10,7,0,0,6,12,1,26,13,1,7,3,0,7,6,2,2,2,1,4,31,2,0,1,2,2,7,1,0,11,1,9,13,11,0,178,3,0,0,4,0,3,2,1,1,4,1,0,3,12,0,6,16,0,0,6,0,5,0,2,21,2,4,17,1,0,1,1,3,3,0,7,0,2,5,3,0,9,0,1,0,1,1,2,0,6,0,0,0,13,0,6,7,394,0,13,3,0,0,2,2,5,514,1,57,1,1,0,1,2,1,3,0,0,0,0,8,2,31,0,0,0,14,0,8,1,394,0,1,0,16,2,0,231,0,7,0,5,27,52,5,0,12,0,2,1,4,0,0,5,5,0,0,0,6,0,8,4,4,11,2,4,0,0,1,0,33,0,0,5,1,1,1,4,7,3,0,4,0,1,0,22,2,6,0,0,50,4,10,1,3,3,1,4,6,4,0,0,0,0,0,1,0,5,4,2,2,2,11,0,0,11,8,1,4,0,2,1,0,15,3,0,0,0,3,6,3,6,5,0,10,0,3,3,3,8,0,4,0,5,0,0,1,0,2,0,11,24,1,0,8,0,1,7,2,3,3,0,0,1,10,0
"9",1,0,1,2,22,1,4,0,1,4,1,2,0,1,0,14,1,1,0,3,1,13,2,0,2,17,0,38,5,0,7,0,0,5,1,0,1,0,5,1,4,0,5,1,0,1,0,0,0,0,3,6,44,0,27,0,6,2,6,9,2,1,1,4,0,1,0,1,0,0,2,11,2,3,14,8,0,2,8,4,1,0,4,10,3,0,0,0,5,4,10,2,4,22,9,0,1,2,1,1,6,0,0,3,16,8,1,1,0,8,0,0,0,0,4,0,4,4,0,4,1,20,1,7,5,41,0,3,1,4,0,0,1,0,2,0,2,5,1,0,58,0,0,9,2,9,10,0,0,0,1,1,0,2,0,0,5,8,5,0,3,7,5,2,2,0,1,5,8,0,6,22,0,2,1,1,0,3,1,1,5,1,3,4,1,2,50,13,0,4,1,1,8,3,0,0,16,1,0,4,0,1,3,13,1,0,6,2,0,0,155,0,0,4,1,0,1,0,4,18,2,1,23,4,5,0,1,11,2,364,3,81,47,1,0,2,0,1,7,4,12,1,4,21,0,16,14,3,26,2,4,1,16,0,0,1,3,8,18,12,1,0,3,3,4,1,0,9,0,32,0,6,5,162,18,0,1,0,6,4,0,1,0,1,2,2,1,2,0,0,8,0,0,7,3,7,0,0,8,2,1,20,1,0,0,0,3,4,0,3,0,2,1,4,0,2,1,2,0,3,0,9,0,8,1,5,0,5,0,23,0,418,0,4,0,0,0,2,1,0,458,0,26,0,1,0,5,0,1,10,2,1,0,0,5,1,14,0,0,0,26,0,6,3,470,0,1,0,31,3,0,304,0,13,2,3,105,23,4,1,18,14,1,1,2,0,0,2,2,3,1,0,8,2,2,3,4,8,8,4,1,1,3,0,26,0,7,10,0,0,2,2,10,5,0,4,1,1,4,6,0,2,0,0,26,2,40,3,0,4,2,10,9,1,0,0,2,0,0,1,2,11,2,1,12,3,6,0,0,7,30,1,0,0,5,3,2,3,0,1,0,0,9,8,0,1,10,2,0,0,0,6,5,9,0,1,6,2,0,2,0,3,3,2,11,12,0,1,1,0,7,15,11,0,2,0,1,0,8,0
"10",1,1,0,1,22,3,1,0,15,0,0,0,0,0,0,29,6,3,0,0,0,13,0,0,0,5,1,21,23,2,24,0,7,2,0,0,2,0,7,4,3,0,3,1,5,5,0,0,0,4,2,23,42,0,20,1,1,8,8,3,0,1,0,10,2,2,0,1,0,0,0,7,3,6,14,2,0,1,0,23,1,0,3,5,1,8,0,0,6,9,7,0,9,14,3,0,0,7,2,4,13,1,0,3,11,12,2,3,0,10,0,0,0,0,1,0,7,3,0,4,6,8,3,0,0,38,0,0,0,0,0,8,0,0,1,0,0,1,7,5,48,1,1,9,2,23,13,8,0,13,3,0,4,1,0,0,6,0,9,5,3,12,11,0,2,5,0,4,4,2,4,10,2,1,0,3,14,9,5,0,0,2,0,1,1,0,26,3,0,2,1,15,3,0,0,3,5,3,0,0,1,4,5,0,2,5,9,4,2,6,258,2,0,3,0,11,0,0,6,0,0,0,25,6,3,13,0,2,4,96,7,49,31,1,0,0,0,0,7,5,2,0,3,10,0,28,6,3,49,11,3,0,4,2,0,1,2,9,21,4,0,1,4,0,11,2,2,6,0,11,18,9,11,184,29,7,0,5,14,3,5,0,7,1,3,1,0,12,0,1,12,0,2,11,0,7,1,0,9,1,0,36,1,0,8,2,2,3,0,2,0,7,7,4,0,10,0,15,0,0,0,2,1,7,2,0,0,58,0,18,1,395,0,10,1,0,1,2,0,4,168,2,22,3,1,1,0,7,2,1,2,0,2,0,9,1,13,2,0,0,35,0,0,2,270,0,0,0,17,1,0,273,0,14,2,0,183,24,2,6,16,10,6,6,5,0,1,3,0,1,1,0,6,0,0,8,16,14,6,6,0,1,2,1,19,0,1,11,1,0,11,0,10,4,0,6,0,1,15,7,3,2,0,0,17,7,21,1,1,1,2,15,3,4,2,0,3,2,0,0,0,2,2,1,14,0,6,0,1,3,39,0,4,0,0,1,0,12,7,0,0,0,11,2,0,3,7,1,6,0,7,0,1,5,0,1,0,8,0,5,0,2,0,2,6,3,0,0,3,0,5,8,4,0,25,1,0,0,19,2
